SKU,Name,Character,Additional Characters,Faction,Series,Team,Line,Company,Type,Category,Price,Qty,Order Date,Ship Date,Vendor,Order #,notes,Item Total,0
,Transformers New Year Special Edition Convoy (Optimus Prime),Optimus Prime,,Autobot,G1,,,Takara,first,G1,$74.95,1,1/17/2002,1/17/2002,Actionfigurexpress,16610,???,$74.95,$74.95
MP-03,TAKARA TRANSFORMER MP-03 STARSCREAM MASTERPIECE,Starscream,,Decepticon,G1,Seeker,Masterpiece,Takara,first,MP,$98.99,1,9/29/2006,9/29/2006,Ebay,220032691362,$50 +48.99 shipping,$98.99,$173.94
MP-04,MP-04 Convoy Perfect Edition,Optimus Prime,,Autobot,G1,,Masterpiece,Takara,first,MP,$180.00,1,11/25/2006,11/25/2006,Japan Trip,In Store,"Not sure on exact date/price (retail price was ~19,000 Yen)",$180.00,$353.94
MP-05,MP-05 Megatron,Megatron,,Decepticon,G1,,Masterpiece,Takara,first,MP,$90.00,1,11/25/2006,11/25/2006,Japan Trip,In Store,"Not sure on exact date/price (retail price was 9,800 Yen)",$90.00,$443.94
,Transformer USB Flash Memory Drive 32GB,Ravage,,Decepticon,G1,,,Seatech,third,Other,$27.50,1,5/18/2012,5/18/2012,Amazon,103-4998259-9178654,,$27.50,$471.44
MP-11,Takara Tomy Transformers Masterpiece MP-11 G1 Starscream,Starscream,,Decepticon,G1,Seeker,Masterpiece,Takara,first,MP,$175.99,2,9/1/2012,9/1/2012,Ebay,5R565708S10109745,One For Chris,$351.98,$823.42
MP-9 TRU,Transformers TRU Exclusive Masterpiece RODIMUS PRIME Hot Rod *MIB* Complete,Rodimus Prime,,Autobot,G1,,Masterpiece,Hasbro,first,MP,$76.99,1,11/5/2012,11/5/2012,Ebay,1M90370175256461F,,$76.99,$900.41
MP-12,MP-12 Masterpiece Sideswipe / Lambor,Sideswipe,,Autobot,G1,,Masterpiece,Takara,first,MP,$167.98,1,11/5/2012,11/6/2012,BBTS,6525824,,$167.98,"$1,068.39"
MP-13,MP-13 Masterpiece Soundwave with Laserbeak,Soundwave,Laserbeak,Decepticon,G1,,Masterpiece,Takara,first,MP,$184.99,2,1/25/2013,1/28/2013,BBTS,6844226,One for Chris,$369.98,"$1,438.37"
MP-15,MP-15 Masterpiece Rumble & Jaguar (Ravage) Set,Rumble,Ravage,Decepticon,G1,Cassettebot,Masterpiece,Takara,first,MP,$59.99,2,2/25/2013,2/26/2013,BBTS,6986914,One for Chris,$119.98,"$1,558.35"
MP-16,MP-16 Masterpiece Frenzy & Buzzsaw Set,Frenzy,Buzzsaw,Decepticon,G1,Cassettebot,Masterpiece,Takara,first,MP,$59.99,2,3/22/2013,3/25/2013,BBTS,7088743,One for Chris,$119.98,"$1,678.33"
MP-8 TRU,TRANSFORMERS Masterpiece Grimlock New MISB - Hasbro TRU exclusive G1 MP-08,Grimlock,,Autobot,G1,Dinobots,Masterpiece,Hasbro,first,MP,$279.99,1,4/25/2013,4/25/2013,Ebay,15V10962UP821100U,,$279.99,"$1,958.32"
,Transformers Reveal the Shield Legends 2 Inch Figures: Optimus Prime,Optimus Prime,,Autobot,G1,,Reveal the Shield,Hasbro,first,Legends,$10.50,1,5/2/2013,5/2/2013,Amazon,106-7808581-7497853,,$10.50,"$1,968.82"
,Transformers Reveal the Shield Legends 2 Inch Figures: Gold Bumblebee,Goldbug,,Autobot,G1,,Reveal the Shield,Hasbro,first,Legends,$10.50,1,5/2/2013,5/2/2013,Amazon,106-7808581-7497853,,$10.50,"$1,979.32"
,Transformers Reveal the Shield Legends 2 Inch Figures: Starscream,Starscream,,Decepticon,G1,Seeker,Reveal the Shield,Hasbro,first,Legends,$10.50,1,5/2/2013,5/2/2013,Amazon,106-7808581-7497853,,$10.50,"$1,989.82"
,Transformers Reveal the Shield Legends 2 Inch Figures: Trail Cutter,Trailbreaker,,Autobot,G1,,Reveal the Shield,Hasbro,first,Legends,$10.50,1,5/2/2013,5/2/2013,Amazon,106-7808581-7497853,,$10.50,"$2,000.31"
,Transformers Reveal the Shield Legends 2 Inch Figures: Prowl,Prowl,,Autobot,G1,,Reveal the Shield,Hasbro,first,Legends,$10.50,1,5/2/2013,5/2/2013,Amazon,106-7808581-7497853,,$10.50,"$2,010.81"
,Transformers Reveal the Shield Legends 2 Inch Figures: Megatron,Megatron,,Decepticon,G1,,Reveal the Shield,Hasbro,first,Legends,$10.50,1,5/2/2013,5/2/2013,Amazon,106-7808581-7497853,,$10.50,"$2,021.31"
MP-09,Transformers Masterpiece MP-09 G1 Rodimus Prime MP-9 ,Rodimus Prime,,Autobot,G1,,Masterpiece,Takara,first,MP,$229.00,1,5/3/2013,5/6/2013,Ebay,921521161005,,$229.00,"$2,250.31"
,Generations Titan Series - Metroplex with Autobot Scamper,Metroplex,Scamper,Autobot,G1,,Thrilling 30,Hasbro,first,Titan,$109.99,1,8/1/2013,8/6/2013,BBTS,7599491,,$109.99,"$2,360.30"
,Generations 2013 Series 03 - Set of 4 (Trailcutter),Trailbreaker,,Autobot,IDW,,Thrilling 30,Hasbro,first,Deluxe,$13.75,1,8/27/2013,8/30/2013,BBTS,7726156,,$13.75,"$2,374.05"
,Generations 2013 Series 03 - Set of 4 (Orion Pax),Orion Pax,,Autobot,IDW,,Thrilling 30,Hasbro,first,Deluxe,$13.75,1,8/27/2013,8/30/2013,BBTS,7726156,,$13.75,"$2,387.80"
,Generations 2013 Series 03 - Set of 4 (Megatron),Megatron,,Decepticon,IDW,,Thrilling 30,Hasbro,first,Deluxe,$13.75,1,8/27/2013,8/30/2013,BBTS,7726156,,$13.75,"$2,401.54"
,Generations 2013 Series 03 - Set of 4 (Bumblebee),Bumblebee,,Autobot,IDW,,Thrilling 30,Hasbro,first,Deluxe,$13.75,1,8/27/2013,8/30/2013,BBTS,7726156,,$13.75,"$2,415.29"
A-03,A-03 Head & Weapons Upgrade Kit,,,Other,,,,SXS,third,Upgrade,$29.99,1,9/26/2013,9/27/2013,BBTS,7849181,,$29.99,"$2,445.28"
MP-17,MP-17 Masterpiece Prowl,Prowl,,Autobot,G1,,Masterpiece,Takara,first,MP,$79.99,1,10/1/2013,10/2/2013,BBTS,7877377,,$79.99,"$2,525.27"
,Transformers Masterpiece MP-17 PROWL / MP-18 BLUESTREAK AMAZON CANNON LAUNCHER,,,Other,,,,Takara,first,Upgrade,$19.98,2,10/5/2013,10/5/2013,Ebay,66G06691J4796852Y,,$39.96,"$2,565.23"
MP-18,MP-18 Masterpiece Streak,Bluestreak,,Autobot,G1,,Masterpiece,Takara,first,MP,$79.99,1,10/30/2013,10/31/2013,BBTS,8022431,,$79.99,"$2,645.22"
,Transformers Generations Legends Class Megatron and Chop Shop Figures,Megatron,Chop Shop,Decepticon,IDW,,Thrilling 30,Hasbro,first,Legends,$11.99,1,11/1/2013,11/4/2013,Amazon,102-8082385-2435401,,$11.99,"$2,657.21"
,Transformers Generations Legends Class Starscream and Waspinator Figures,Starscream,Waspinator,Decepticon,IDW,Seeker,Thrilling 30,Hasbro,first,Legends,$11.57,1,11/1/2013,11/4/2013,Amazon,102-8082385-2435401,,$11.57,"$2,668.78"
,Transformers Platinum Edition Predaking Figure [Amazon Exclusive],Predaking,"Razorclaw, Tantrum, Divebomb, Headstrong, Rampage",Decepticon,G1,Predacon,Reissue,Hasbro,first,G1,$79.99,1,12/13/2013,12/16/2013,Amazon,102-6057282-9297002,,$79.99,"$2,748.77"
MP-19,MP-19 Masterpiece Smokescreen,Smokescreen,,Autobot,G1,,Masterpiece,Takara,first,MP,$79.99,1,12/17/2013,12/17/2013,BBTS,8261943,,$79.99,"$2,828.76"
BEK-01R,BEK-01R Boosticus Upgrade Kit,,,Other,,,,X-Transbots,third,Upgrade,$54.99,1,1/29/2014,1/31/2014,BBTS,8475520,,$54.99,"$2,883.75"
MN-01,"MN-01 Mecha Nations 6"" Optimus Prime",Optimus Prime,,Autobot,G1,,,Kids Logic,second,Figure,$119.99,1,2/3/2014,2/5/2014,BBTS,8494938,,$119.99,"$3,003.74"
UT-G01,Mania King (Messiah),Galvatron,,Decepticon,IDW,,,Unique Toys,third,3PMP,$114.99,1,2/3/2014,2/5/2014,BBTS,8494938,,$114.99,"$3,118.73"
XT003,XT003 Set of Upgrade Kit One & Two,,,Other,,,,X2 Toys,third,Upgrade,$29.99,1,2/17/2014,2/18/2014,BBTS,8555068,,$29.99,"$3,148.72"
CDMW-14,CDMW-14* The King's Power Parts Custom Giant Sonic Sword - G1 Bronze/Gold,,,Other,,,,CrazyDevy,third,Upgrade,$16.82,1,2/20/2014,2/21/2014,BBTS,8574269,,$16.82,"$3,165.54"
DW-P12,DW-P12 Blaster Set of 2 Version 01,,,Other,,,,Dr. Wu,third,Upgrade,$15.99,1,2/20/2014,2/21/2014,BBTS,8574269,,$15.99,"$3,181.53"
,Generations 2014 Voyager Series 02 Revision 02 - Rhinox,Rhinox,,Maximal,BW,,Thrilling 30,Hasbro,first,Voyager,$22.99,1,3/18/2014,3/19/2014,BBTS,8678170,,$22.99,"$3,204.52"
,Generations 2014 Voyager Series 02 Revision 02 - Whirl,Whirl,,Autobot,IDW,,Thrilling 30,Hasbro,first,Voyager,$23.00,1,3/18/2014,3/19/2014,BBTS,8678170,,$23.00,"$3,227.52"
BEK-01SP,BEK-01SP Boosticus Upgrade Kit,,,Other,,,,X-Transbots,third,Upgrade,$59.99,1,3/18/2014,3/19/2014,BBTS,8678170,,$59.99,"$3,287.51"
MM-01,Manga Mech Series MM-01 Trash-Talk & Cogwheel Set,Swerve,Gears,Autobot,IDW,,,MakeToys,third,3PMP,$69.99,1,3/26/2014,3/27/2014,BBTS,8718511,,$69.99,"$3,357.50"
